Score,Overs,RPO,Target,Lead,Inns,Result,Opposition,Ground,Start Date
,1877-2025,2107,916.0,785,11,355,1.166,31.69,
196.0,136.1x4,2.15,0.0,-49,2,lost,Test v Australia,Melbourne,1877-03-15
108.0,66.1x4,2.44,154.0,-45,4,lost,Test v Australia,Melbourne,1877-03-15
261.0,130.2x4,3.00,0.0,139,2,won,Test v Australia,Melbourne,1877-03-31
,52.1x4,3.50,121.0,2,4,won,Test v Australia,Melbourne,1877-03-31
113.0,54.0x4,3.13,0.0,113,1,lost,Test v Australia,Melbourne,1879-01-02
160.0,83.0x4,2.89,0.0,17,3,lost,Test v Australia,Melbourne,1879-01-02
420.0,210.3x4,2.98,0.0,420,1,won,Test v Australia,The Oval,1880-09-06
,33.3x4,2.53,57.0,1,4,won,Test v Australia,The Oval,1880-09-06
294.0,170.2x4,2.58,0.0,294,1,draw,Test v Australia,Melbourne,1881-12-31
308.0,229.3x4,2.01,0.0,282,3,draw,Test v Australia,Melbourne,1881-12-31
133.0,115.0x4,1.73,0.0,133,1,lost,Test v Australia,Sydney,1882-02-17
232.0,153.1x4,2.27,0.0,168,3,lost,Test v Australia,Sydney,1882-02-17
188.0,140.2x4,2.00,0.0,188,1,lost,Test v Australia,Sydney,1882-03-03
134.0,80.1x4,2.50,0.0,60,3,lost,Test v Australia,Sydney,1882-03-03
309.0,159.2x4,2.90,0.0,309,1,draw,Test v Australia,Melbourne,1882-03-10
,97.3x4,3.59,0.0,243,3,draw,Test v Australia,Melbourne,1882-03-10
101.0,71.3x4,2.11,0.0,38,2,lost,Test v Australia,The Oval,1882-08-28
77.0,55.0x4,2.10,85.0,-7,4,lost,Test v Australia,The Oval,1882-08-28
177.0,107.2x4,2.46,0.0,-114,2,lost,Test v Australia,Melbourne,1882-12-30
169.0,99.1x4,2.55,0.0,55,3,lost,Test v Australia,Melbourne,1882-12-30
294.0,183.3x4,2.40,0.0,294,1,won,Test v Australia,Melbourne,1883-01-19
247.0,143.0x4,2.59,0.0,247,1,won,Test v Australia,Sydney,1883-01-26
123.0,80.1x4,2.29,0.0,152,3,won,Test v Australia,Sydney,1883-01-26
263.0,155.0x4,2.54,0.0,263,1,lost,Test v Australia,Sydney,1883-02-17
197.0,126.3x4,2.33,0.0,198,3,lost,Test v Australia,Sydney,1883-02-17
95.0,63.0x4,2.26,0.0,95,1,draw,Test v Australia,Manchester,1884-07-10
,130.0x4,2.07,0.0,93,3,draw,Test v Australia,Manchester,1884-07-10
379.0,184.1x4,3.08,0.0,150,2,won,Test v Australia,Lord's,1884-07-21
346.0,198.0x4,2.62,0.0,-205,2,draw,Test v Australia,The Oval,1884-08-11
,26.0x4,4.90,0.0,-120,3,draw,Test v Australia,The Oval,1884-08-11
369.0,243.2x4,2.27,0.0,126,2,won,Test v Australia,Adelaide,1884-12-12
,31.0x4,3.24,66.0,2,4,won,Test v Australia,Adelaide,1884-12-12
401.0,216.2x4,2.77,0.0,401,1,won,Test v Australia,Melbourne,1885-01-01
,1.1x4,8.40,5.0,3,4,won,Test v Australia,Melbourne,1885-01-01
133.0,95.1x4,2.09,0.0,-48,2,lost,Test v Australia,Sydney,1885-02-20
207.0,111.1x4,2.79,214.0,-6,4,lost,Test v Australia,Sydney,1885-02-20
269.0,126.0x4,3.20,0.0,269,1,lost,Test v Australia,Sydney,1885-03-14
77.0,39.1x4,2.94,0.0,37,3,lost,Test v Australia,Sydney,1885-03-14
386.0,221.3x4,2.61,0.0,223,2,won,Test v Australia,Melbourne,1885-03-21
223.0,157.2x4,2.12,0.0,18,2,won,Test v Australia,Manchester,1886-07-05
,77.2x4,2.07,106.0,2,4,won,Test v Australia,Manchester,1886-07-05
353.0,259.0x4,2.04,0.0,353,1,won,Test v Australia,Lord's,1886-07-19
434.0,304.1x4,2.13,0.0,434,1,won,Test v Australia,The Oval,1886-08-12
45.0,35.3x4,1.88,0.0,45,1,won,Test v Australia,Sydney,1887-01-28
184.0,136.2x4,2.02,0.0,110,3,won,Test v Australia,Sydney,1887-01-28
151.0,109.0x4,2.07,0.0,151,1,won,Test v Australia,Sydney,1887-02-25
154.0,140.1x4,1.64,0.0,221,3,won,Test v Australia,Sydney,1887-02-25
113.0,100.0x4,1.69,0.0,113,1,won,Test v Australia,Sydney,1888-02-10
137.0,75.0x4,2.74,0.0,208,3,won,Test v Australia,Sydney,1888-02-10
53.0,50.0x4,1.59,0.0,-63,2,lost,Test v Australia,Lord's,1888-07-16
62.0,47.0x4,1.97,124.0,-61,4,lost,Test v Australia,Lord's,1888-07-16
317.0,138.2x4,3.43,0.0,237,2,won,Test v Australia,The Oval,1888-08-13
172.0,113.1x4,2.27,0.0,172,1,won,Test v Australia,Manchester,1888-08-30
148.0,66.2x4,3.33,0.0,64,2,won,Test v South Africa,Gqeberha,1889-03-12
,21.1x4,4.72,66.0,2,4,won,Test v South Africa,Gqeberha,1889-03-12
292.0,123.1x4,3.55,0.0,292,1,won,Test v South Africa,Cape Town,1889-03-25
173.0,110.1x5,1.88,0.0,41,2,won,Test v Australia,Lord's,1890-07-21
,75.0x5,2.19,136.0,2,4,won,Test v Australia,Lord's,1890-07-21
100.0,55.0x5,2.18,0.0,8,2,won,Test v Australia,The Oval,1890-08-11
,51.0x5,2.23,95.0,1,4,won,Test v Australia,The Oval,1890-08-11
264.0,91.4,2.88,0.0,24,2,lost,Test v Australia,Melbourne,1892-01-01
158.0,82.2,1.91,213.0,-54,4,lost,Test v Australia,Melbourne,1892-01-01
307.0,114.2,2.68,0.0,163,2,lost,Test v Australia,Sydney,1892-01-29
156.0,66.2,2.35,229.0,-72,4,lost,Test v Australia,Sydney,1892-01-29
369.0,119.2x5,3.70,0.0,272,2,won,Test v South Africa,Cape Town,1892-03-19
499.0,173.1,2.88,0.0,499,1,won,Test v Australia,Adelaide,1892-03-24
